index,date,new_cases_smoothed,new_deaths_smoothed,new_vaccinations_smoothed
204014,22/01/2020 00:00,0,0,0
204015,23/01/2020 00:00,0,0,0
204016,24/01/2020 00:00,0,0,0
204017,25/01/2020 00:00,0,0,0
204018,26/01/2020 00:00,0,0,0
204019,27/01/2020 00:00,338.857,9.286,0
204020,28/01/2020 00:00,717.571,16.286,0
204021,29/01/2020 00:00,801.714,16.571,0
204022,30/01/2020 00:00,1082.857,21.857,0
204023,31/01/2020 00:00,1283.286,26.714,0
204024,01/02/2020 00:00,1514.429,31,0
204025,02/02/2020 00:00,2095.286,43.714,0
204026,03/02/2020 00:00,2422.571,49.143,0
204027,04/02/2020 00:00,2617,51.571,0
204028,05/02/2020 00:00,3067.857,61.571,0
204029,06/02/2020 00:00,3224.143,66.143,0
204030,07/02/2020 00:00,3496.143,72.286,0
204031,08/02/2020 00:00,3584.714,78.143,0
204032,09/02/2020 00:00,3339.286,77.714,0
204033,10/02/2020 00:00,3269.143,83.857,0
204034,11/02/2020 00:00,2987.857,88.714,0
204035,12/02/2020 00:00,2512.571,79.143,0
204036,13/02/2020 00:00,4225.429,105.286,0
204037,14/02/2020 00:00,4644.571,114.857,0
204038,15/02/2020 00:00,4560.571,122.857,0
204039,16/02/2020 00:00,4439.429,123.429,0
204040,17/02/2020 00:00,4357.429,122.143,0
204041,18/02/2020 00:00,4334.429,127.857,0
204042,19/02/2020 00:00,4346.143,143.571,0
204043,20/02/2020 00:00,2261.714,125.286,0
204044,21/02/2020 00:00,1419.143,104.143,0
204045,22/02/2020 00:00,1364.714,113.286,0
204046,23/02/2020 00:00,1107.429,100,0
204047,24/02/2020 00:00,897.857,108.857,0
204048,25/02/2020 00:00,751,100.286,0
204049,26/02/2020 00:00,818.571,92.571,0
204050,27/02/2020 00:00,930.429,80.857,0
204051,28/02/2020 00:00,1043.857,88.714,0
204052,29/02/2020 00:00,1059.429,69.143,0
204053,01/03/2020 00:00,1344.714,75.286,0
