,Player,Position,prediction
45,Aaron Gordon,2,1
55,Aaron Holiday,0,0
70,Aaron Nesmith,1,1
71,Aaron Wiggins,1,1
86,Abdel Nader,1,1
107,Admiral Schofield,1,2
168,Al Horford,2,2
246,Alec Burks,1,1
253,Aleksej Pokusevski,2,2
263,Alex Caruso,1,0
282,Alex Len,2,2
299,Alfonzo McKinnie,1,2
304,Alize Johnson,2,2
369,Alperen Şengün,2,2
424,Amir Coffey,1,1
473,Andre Drummond,2,2
492,Andre Iguodala,1,0
594,Andrew Wiggins,1,1
626,Anfernee Simons,1,0
685,Anthony Davis,2,2
687,Anthony Edwards,1,1
691,Anthony Gill,2,2
871,Armoni Brooks,0,1
926,Austin Reaves,1,1
936,Austin Rivers,1,1
948,Avery Bradley,1,1
970,Ayo Dosunmu,1,1
989,Bam Adebayo,2,2
1034,Ben McLemore,1,1
1214,Blake Griffin,2,2
1279,Boban Marjanović,2,2
1326,Bobby Portis,2,2
1340,Bogdan Bogdanović,1,1
1348,Bojan Bogdanović,2,1
1351,Bol Bol,2,1
1352,Bones Hyland,1,0
1439,Brad Wanamaker,0,0
1450,Bradley Beal,1,1
1468,Brandon Boston Jr.,1,1
1471,Brandon Clarke,2,2
1477,Brandon Goodwin,0,0
1484,Brandon Ingram,1,1
1502,Brandon Knight,0,0
1521,Brandon Williams,0,1
1522,Braxton Key,1,2
1644,Brodric Thomas,1,0
1657,Brook Lopez,2,2
1682,Bruce Brown,1,1
1691,Bruno Fernando,2,2
1728,Bryn Forbes,1,1
1769,Buddy Hield,1,1
1832,CJ Elleby,1,1
1841,CJ McCollum,1,1
1842,Cade Cunningham,1,1
1870,Caleb Martin,1,1
1893,Cam Reddish,1,1
1894,Cam Thomas,1,1
1898,Cameron Johnson,2,1
1899,Cameron McGriff,1,2
1901,Cameron Oliver,1,1
1908,Cameron Payne,0,0
1920,Caris LeVert,1,1
1942,Carlik Jones,0,0
1997,Carmelo Anthony,2,2
2015,Carsen Edwards,1,0
2028,Cassius Stanley,1,1
2030,Cassius Winston,0,0
2035,Cedi Osman,1,1
2103,Charles Bassey,2,2
2172,Charlie Brown Jr.,1,1
2228,Chaundee Brown Jr.,1,1
2242,Chimezie Metu,2,2
2274,Chris Boucher,1,2
2292,Chris Chiozza,0,0
2314,Chris Duarte,1,1
2425,Chris Paul,0,0
2498,Christian Wood,2,2
2544,Chuma Okeke,2,1
2608,Clint Capela,2,2
2640,Coby White,0,1
2643,Cody Martin,1,1
2652,Cody Zeller,2,2
2654,Cole Anthony,0,0
2658,Collin Sexton,1,1
2687,Corey Kispert,1,1
2746,Cory Joseph,0,0
2821,D'Angelo Russell,0,0
2835,D.J. Augustin,0,0
2846,D.J. Wilson,2,1
2870,Daishen Nix,1,0
2875,Dalano Banton,0,1
2905,Damian Jones,2,2
2915,Damian Lillard,0,0
2934,Damion Lee,1,1
3028,Daniel Gafford,2,2
3039,Daniel Oturu,2,2
3044,Daniel Theis,2,2
3057,Danilo Gallinari,2,1
3111,Danny Green,1,1
3174,Danuel House Jr.,1,1
