Column1,Coin,Time Frame,Percentage Change
0,Bitcoin,1h,-1.42018112
3744,MimbleWimbleCoin,1h,-1.42018112
5868,STEM CELL COIN,1h,-1.42018112
6072,Viacoin,1h,-1.42018112
6204,KARMA,1h,-1.42018112
6252,Factom,1h,-1.42018112
6378,Bitcoin Atom,1h,-1.42018112
6390,SIBCoin,1h,-1.42018112
6420,Carboncoin,1h,-1.42018112
6426,DECOIN,1h,-1.42018112
6468,Bitcoin Private,1h,-1.42018112
6786,ColossusXT,1h,-1.42018112
6960,VestChain,1h,-1.42018112
6972,Infinitecoin,1h,-1.42018112
7242,EOSDT,1h,-1.42018112
7296,Primecoin,1h,-1.42018112
7380,EUNO,1h,-1.42018112
7422,Memetic / PepeCoin,1h,-1.42018112
7506,REPO,1h,-1.42018112
7656,XTRABYTES,1h,-1.42018112
7680,TransferCoin,1h,-1.42018112
8310,Gulden,1h,-1.42018112
8466,Feathercoin,1h,-1.42018112
8574,Phoenixcoin,1h,-1.42018112
8730,ChessCoin,1h,-1.42018112
8790,e-Gulden,1h,-1.42018112
8808,HiCoin,1h,-1.42018112
8838,Upfiring,1h,-1.42018112
8868,PEPS Coin,1h,-1.42018112
8898,BlackCoin,1h,-1.42018112
8988,MoneroV,1h,-1.42018112
9042,Bata,1h,-1.42018112
9084,HempCoin,1h,-1.42018112
9516,LanaCoin,1h,-1.42018112
9552,Hush,1h,-1.42018112
9558,FYDcoin,1h,-1.42018112
9660,ADAMANT Messenger,1h,-1.42018112
9774,FlypMe,1h,-1.42018112
9786,CUTcoin,1h,-1.42018112
9840,PetroDollar,1h,-1.42018112
9870,VNX,1h,-1.42018112
10098,Ixcoin,1h,-1.42018112
10224,Orbitcoin,1h,-1.42018112
10236,CannabisCoin,1h,-1.42018112
10392,Karbo,1h,-1.42018112
10548,DogeCash,1h,-1.42018112
10722,xRhodium,1h,-1.42018112
11016,VegaWallet Token,1h,-1.42018112
11028,Beaxy,1h,-1.42018112
11082,Pinkcoin,1h,-1.42018112
11190,Tripio,1h,-1.42018112
11208,ZClassic,1h,-1.42018112
11298,Global Cryptocurrency,1h,-1.42018112
11304,Freicoin,1h,-1.42018112
11316,DMarket,1h,-1.42018112
11418,OKCash,1h,-1.42018112
11424,Content Neutrality Network,1h,-1.42018112
11484,Bitswift,1h,-1.42018112
11490,Motocoin,1h,-1.42018112
11508,Atmos,1h,-1.42018112
11730,Zennies,1h,-1.42018112
11748,Actinium,1h,-1.42018112
11790,AudioCoin,1h,-1.42018112
11838,Maxcoin,1h,-1.42018112
11892,CoinDeal Token,1h,-1.42018112
12006,PoSW Coin,1h,-1.42018112
12060,Citadel,1h,-1.42018112
12108,Bitstar,1h,-1.42018112
12138,Netko,1h,-1.42018112
12204,Lethean,1h,-1.42018112
12222,COVA,1h,-1.42018112
12378,KnoxFS,1h,-1.42018112
12384,MotaCoin,1h,-1.42018112
12414,Cryptonite,1h,-1.42018112
12420,DopeCoin,1h,-1.42018112
12450,MODEL-X-coin,1h,-1.42018112
12522,ZENZO,1h,-1.42018112
12564,NFX Coin,1h,-1.42018112
12582,Swing,1h,-1.42018112
12612,RING X PLATFORM,1h,-1.42018112
12660,Kurrent,1h,-1.42018112
12684,Donu,1h,-1.42018112
