Column1,symbol,Coin,24H %
0,LDO,Lido DAO,-12.38000365
1,RUNE,THORChain,-11.86710449
2,FLOW,Flow,-11.36474673
3,CRV,Curve DAO Token,-10.24997715
4,NEAR,NEAR Protocol,-10.07864056
5,UNI,Uniswap,-9.76594355
6,AAVE,Aave,-9.61724809
7,KSM,Kusama,-9.59116524
8,AVAX,Avalanche,-9.45688579
9,ATOM,Cosmos,-9.4276104
10,ETC,Ethereum Classic,-9.32774329
11,AXS,Axie Infinity,-9.30778214
12,EOS,EOS,-9.19863537
13,KAVA,Kava,-9.18661142
14,STX,Stacks,-9.15897278
15,MINA,Mina,-9.07219218
16,ADA,Cardano,-9.05880109
17,GNO,Gnosis,-8.97417508
18,ENJ,Enjin Coin,-8.94815873
19,CELO,Celo,-8.9007842
20,VET,VeChain,-8.88644007
21,WAVES,Waves,-8.7585732
22,DASH,Dash,-8.70104131
23,GMT,STEPN,-8.68683834
24,NEO,Neo,-8.66195944
25,HNT,Helium,-8.63754787
26,ETH,Ethereum,-8.61585257
27,ANKR,Ankr,-8.45468761
28,CRO,Cronos,-8.45252761
29,CVX,Convex Finance,-8.43475922
30,DOT,Polkadot,-8.42732863
31,XEM,NEM,-8.42183935
32,FIL,Filecoin,-8.33733802
33,LINK,Chainlink,-8.2669861
34,FTM,Fantom,-8.2499031
35,LUNA,Terra,-8.16144351
36,MATIC,Polygon,-8.08368418
37,SAND,The Sandbox,-8.07604136
38,MANA,Decentraland,-8.02740175
39,EGLD,Elrond,-7.72053764
40,1INCH,1inch Network,-7.69233909
41,BAT,Basic Attention Token,-7.58940886
42,ALGO,Algorand,-7.58656986
43,ZEC,Zcash,-7.56464421
44,LRC,Loopring,-7.53967464
45,MIOTA,IOTA,-7.4718942
46,THETA,Theta Network,-7.43437978
47,SOL,Solana,-7.39277315
48,BTG,Bitcoin Gold,-7.27785593
49,BCH,Bitcoin Cash,-7.16223324
50,ZIL,Zilliqa,-6.95165926
51,CAKE,PancakeSwap,-6.8716353
52,XTZ,Tezos,-6.86119313
53,SNX,Synthetix,-6.80250873
54,GRT,The Graph,-6.78369273
55,XLM,Stellar,-6.69817004
56,SHIB,Shiba Inu,-6.62939334
57,QNT,Quant,-6.35955459
58,ICP,Internet Computer,-6.25079964
59,OKB,OKB,-6.24581714
60,DCR,Decred,-6.03311758
61,MKR,Maker,-5.96038868
62,BTC,Bitcoin,-5.89776629
63,DOGE,Dogecoin,-5.78634771
64,NEXO,Nexo,-5.60705821
65,KCS,KuCoin Token,-5.5988128
66,WBTC,Wrapped Bitcoin,-5.53891873
67,BTT,BitTorrent-New,-5.25802726
68,FTT,FTX Token,-5.16951469
69,COMP,Compound,-5.15069715
70,XMR,Monero,-5.09088582
71,USTC,TerraClassicUSD,-5.07953279
72,BNB,BNB,-5.03657579
73,KLAY,Klaytn,-4.69236753
74,GT,GateToken,-4.60907743
75,BSV,Bitcoin SV,-4.46684314
76,XRP,XRP,-4.37537578
77,TRX,TRON,-3.86891745
78,RVN,Ravencoin,-3.76366786
79,HT,Huobi Token,-3.37882471
80,HOT,Holo,-3.13582245
81,APE,ApeCoin,-2.61087673
82,USDN,Neutrino USD,-2.23061661
83,LEO,UNUS SED LEO,-1.45522651
84,PAXG,PAX Gold,-1.27290706
85,CHZ,Chiliz,-0.84228007
86,DAI,Dai,-0.29680065
87,FEI,Fei USD,-0.23146046
88,USDD,USDD,-0.02660741
89,USDT,Tether,-0.01027193
90,USDC,USD Coin,-0.00948823
91,TUSD,TrueUSD,0.00223075
92,BUSD,Binance USD,0.02118125
93,USDP,Pax Dollar,0.02640152
94,LUNC,Terra Classic,0.03170842
95,XEC,eCash,0.85639114
96,LTC,Litecoin,1.21200873
97,HBAR,Hedera,1.85786287
98,TWT,Trust Wallet Token,3.95419824
