SaleID,SaleDate,TicketNo,StockCode,ProductGroup,OutletID,CardID,Order Quantity,Revenue,CreateTimestamp,UpdateTimestamp,Month,WeekNo
471,12-Mar-19,105578,PZ0005,P,3,1,1,9,11/08/2022 15:08,11/08/2022 15:08,March,11
473,12-Mar-19,105580,PZ0005,P,3,4,1,9,11/08/2022 15:08,11/08/2022 15:08,March,11
507,13-Mar-19,105658,PZ0005,P,3,4,1,9,11/08/2022 15:08,11/08/2022 15:08,March,11
554,15-Mar-19,105771,PZ0005,P,3,2,1,9,11/08/2022 15:08,11/08/2022 15:08,March,11
685,20-Mar-19,106072,PZ0005,P,3,3,1,9,11/08/2022 15:08,11/08/2022 15:08,March,12
1601,07-Oct-17,86771,PZ0005,P,3,1,1,9,11/08/2022 15:08,11/08/2022 15:08,October,40
1637,13-Oct-17,86821,PZ0005,P,3,2,1,9,11/08/2022 15:08,11/08/2022 15:08,October,41
1638,13-Oct-17,86822,PZ0005,P,3,3,1,9,11/08/2022 15:08,11/08/2022 15:08,October,41
1646,14-Oct-17,86831,PZ0005,P,3,3,1,9,11/08/2022 15:08,11/08/2022 15:08,October,41
1676,19-Oct-17,86872,PZ0005,P,3,4,1,9,11/08/2022 15:08,11/08/2022 15:08,October,42
1677,19-Oct-17,86873,PZ0005,P,3,4,1,9,11/08/2022 15:08,11/08/2022 15:08,October,42
1712,24-Oct-17,86922,PZ0005,P,3,3,1,9,11/08/2022 15:08,11/08/2022 15:08,October,43
3505,27-Jan-19,102336,PZ0005,P,3,3,1,9,11/08/2022 15:08,11/08/2022 15:08,January,5
3618,31-Jan-19,102585,PZ0005,P,3,2,1,9,11/08/2022 15:08,11/08/2022 15:08,January,5
3619,31-Jan-19,102586,PZ0005,P,3,2,1,9,11/08/2022 15:08,11/08/2022 15:08,January,5
4052,01-Feb-19,102826,PZ0005,P,3,2,1,9,11/08/2022 15:08,11/08/2022 15:08,February,5
4132,03-Feb-19,102964,PZ0005,P,3,2,1,9,11/08/2022 15:08,11/08/2022 15:08,February,6
4159,04-Feb-19,103018,PZ0005,P,3,4,1,9,11/08/2022 15:08,11/08/2022 15:08,February,6
4262,07-Feb-19,103219,PZ0005,P,3,1,1,9,11/08/2022 15:08,11/08/2022 15:08,February,6
4297,08-Feb-19,103285,PZ0005,P,3,1,1,9,11/08/2022 15:08,11/08/2022 15:08,February,6
4445,13-Feb-19,103595,PZ0005,P,3,3,1,9,11/08/2022 15:08,11/08/2022 15:08,February,7
4474,14-Feb-19,103656,PZ0005,P,3,4,1,9,11/08/2022 15:08,11/08/2022 15:08,February,7
4582,18-Feb-19,103928,PZ0005,P,3,4,1,9,11/08/2022 15:08,11/08/2022 15:08,February,8
4728,22-Feb-19,104219,PZ0005,P,3,3,1,9,11/08/2022 15:08,11/08/2022 15:08,February,8
6554,10-Jun-18,90111,PZ0005,P,3,4,1,9,11/08/2022 15:08,11/08/2022 15:08,June,24
6555,10-Jun-18,90112,PZ0005,P,3,2,1,9,11/08/2022 15:08,11/08/2022 15:08,June,24
6574,12-Jun-18,90136,PZ0005,P,3,3,1,9,11/08/2022 15:08,11/08/2022 15:08,June,24
6581,13-Jun-18,90145,PZ0005,P,3,2,1,9,11/08/2022 15:08,11/08/2022 15:08,June,24
6669,24-Jun-18,90273,PZ0005,P,3,1,1,9,11/08/2022 15:08,11/08/2022 15:08,June,26
6704,28-Jun-18,90318,PZ0005,P,3,2,1,9,11/08/2022 15:08,11/08/2022 15:08,June,26
